CustomerID,Gender,Age,GeographyLocation,CreditCard,Exited,Date,PaymentMode,Year,Month,Status
CUST00001,Male,69,Ivory Coast,Yes,No,2017-04-12,Debit Card,2017,April,Active
CUST00002,Female,21,Ivory Coast,Yes,No,2016-12-31,Net Banking,2016,December,Active
CUST00003,Male,51,Sierra Leone,Yes,No,2019-01-23,Debit Card,2019,January,Active
CUST00004,Male,22,Sierra Leone,No,No,2019-08-03,Debit Card,2019,August,Active
CUST00005,Male,50,Sierra Leone,Yes,No,2017-12-04,Debit Card,2017,December,Active
CUST00006,Female,74,Ivory Coast,Yes,No,2016-02-12,UPI,2016,February,Active
CUST00007,Male,22,Guinea,Yes,No,2019-03-27,Credit Card,2019,March,Active
CUST00008,Male,55,Sierra Leone,Yes,No,2016-08-22,Debit Card,2016,August,Active
CUST00009,Male,51,Sierra Leone,No,No,2017-04-19,Net Banking,2017,April,Active
CUST00010,Female,43,Ivory Coast,Yes,No,2018-06-13,Credit Card,2018,June,Active
CUST00011,Male,18,Guinea,Yes,No,2018-08-14,UPI,2018,August,Active
CUST00012,Male,21,Sierra Leone,Yes,Yes,2019-12-06,Net Banking,2019,December,Inactive
CUST00013,Male,56,Sierra Leone,Yes,No,2017-01-28,Debit Card,2017,January,Active
CUST00014,Male,71,Guinea,Yes,No,2019-03-13,Net Banking,2019,March,Active
CUST00015,Female,43,Ivory Coast,Yes,No,2018-07-15,Credit Card,2018,July,Active
CUST00016,Male,50,Guinea,Yes,No,2016-01-10,UPI,2016,January,Active
CUST00017,Female,50,Ivory Coast,No,No,2016-11-25,Credit Card,2016,November,Active
CUST00018,Female,25,Sierra Leone,No,No,2019-07-15,Debit Card,2019,July,Active
CUST00019,Female,37,Guinea,No,No,2017-04-25,Credit Card,2017,April,Active
CUST00020,Male,33,Guinea,No,No,2019-03-25,UPI,2019,March,Active
CUST00021,Female,38,Sierra Leone,No,No,2017-06-13,UPI,2017,June,Active
CUST00022,Male,62,Sierra Leone,No,Yes,2018-08-05,UPI,2018,August,Inactive
CUST00023,Female,72,Ivory Coast,Yes,No,2018-07-12,Net Banking,2018,July,Active
CUST00024,Female,73,Sierra Leone,Yes,No,2019-07-31,UPI,2019,July,Active
CUST00025,Female,43,Sierra Leone,No,No,2018-01-12,Debit Card,2018,January,Active
CUST00026,Female,40,Guinea,Yes,No,2018-08-17,Net Banking,2018,August,Active
CUST00027,Female,35,Ivory Coast,Yes,No,2016-09-26,Credit Card,2016,September,Active
CUST00028,Female,48,Sierra Leone,Yes,No,2016-09-20,UPI,2016,September,Active
CUST00029,Female,69,Guinea,Yes,No,2017-04-22,Net Banking,2017,April,Active
CUST00030,Female,59,Sierra Leone,Yes,Yes,2016-12-21,UPI,2016,December,Inactive
CUST00031,Male,29,Sierra Leone,Yes,Yes,2019-07-06,UPI,2019,July,Inactive
CUST00032,Male,18,Sierra Leone,Yes,No,2016-07-20,Credit Card,2016,July,Active
CUST00033,Female,59,Sierra Leone,No,No,2016-05-16,Credit Card,2016,May,Active
CUST00034,Female,26,Ivory Coast,No,Yes,2018-12-06,UPI,2018,December,Inactive
CUST00035,Female,20,Guinea,No,No,2016-03-03,Credit Card,2016,March,Active
CUST00036,Male,68,Guinea,No,No,2018-07-24,Credit Card,2018,July,Active
CUST00037,Female,43,Sierra Leone,Yes,No,2016-03-17,Credit Card,2016,March,Active
CUST00038,Male,26,Guinea,Yes,Yes,2018-05-03,Credit Card,2018,May,Inactive
CUST00039,Male,59,Sierra Leone,Yes,No,2017-09-24,Credit Card,2017,September,Active
CUST00040,Male,68,Guinea,No,No,2016-01-13,UPI,2016,January,Active
CUST00041,Male,33,Ivory Coast,Yes,No,2017-01-24,Debit Card,2017,January,Active
CUST00042,Male,41,Ivory Coast,No,No,2017-10-30,Credit Card,2017,October,Active
CUST00043,Female,67,Guinea,Yes,No,2017-04-12,Net Banking,2017,April,Active
CUST00044,Female,31,Sierra Leone,No,Yes,2017-12-04,Credit Card,2017,December,Inactive
CUST00045,Female,20,Sierra Leone,Yes,No,2016-12-06,Net Banking,2016,December,Active
CUST00046,Female,51,Sierra Leone,No,Yes,2018-12-14,Debit Card,2018,December,Inactive
CUST00047,Female,50,Sierra Leone,Yes,No,2019-12-07,Credit Card,2019,December,Active
CUST00048,Male,67,Ivory Coast,Yes,No,2019-09-19,Debit Card,2019,September,Active
CUST00049,Female,41,Sierra Leone,Yes,No,2016-11-06,UPI,2016,November,Active
CUST00050,Female,26,Sierra Leone,No,No,2016-07-06,Credit Card,2016,July,Active
CUST00051,Male,30,Sierra Leone,Yes,No,2017-11-11,Cash,2017,November,Active
CUST00052,Female,19,Sierra Leone,No,No,2018-10-26,UPI,2018,October,Active
CUST00053,Male,24,Ivory Coast,No,Yes,2017-09-05,UPI,2017,September,Inactive
CUST00054,Female,65,Guinea,No,No,2019-12-07,Credit Card,2019,December,Active
CUST00055,Male,38,Guinea,Yes,Yes,2016-10-06,Debit Card,2016,October,Inactive
CUST00056,Female,36,Sierra Leone,Yes,Yes,2016-02-20,Credit Card,2016,February,Inactive
CUST00057,Female,42,Sierra Leone,Yes,No,2018-02-23,Credit Card,2018,February,Active
CUST00058,Male,64,Guinea,No,No,2019-06-05,Cash,2019,June,Active
CUST00059,Male,39,Ivory Coast,No,Yes,2019-07-24,Credit Card,2019,July,Inactive
CUST00060,Male,28,Ivory Coast,No,No,2017-08-17,Debit Card,2017,August,Active
CUST00061,Male,50,Ivory Coast,Yes,No,2019-09-03,UPI,2019,September,Active
CUST00062,Male,49,Ivory Coast,Yes,No,2018-09-09,Credit Card,2018,September,Active
CUST00063,Male,38,Ivory Coast,No,No,2016-12-12,Debit Card,2016,December,Active
CUST00064,Male,56,Ivory Coast,Yes,No,2016-04-26,Cash,2016,April,Active
CUST00065,Male,37,Ivory Coast,No,No,2016-03-15,Credit Card,2016,March,Active
CUST00066,Female,25,Ivory Coast,Yes,No,2017-04-18,Net Banking,2017,April,Active
CUST00067,Female,59,Ivory Coast,Yes,No,2019-10-28,Credit Card,2019,October,Active
CUST00068,Male,54,Sierra Leone,No,No,2019-08-26,Net Banking,2019,August,Active
CUST00069,Female,26,Ivory Coast,Yes,No,2016-06-19,Debit Card,2016,June,Active
CUST00070,Female,42,Sierra Leone,Yes,No,2017-12-26,Net Banking,2017,December,Active
CUST00071,Female,42,Guinea,No,Yes,2017-12-23,Debit Card,2017,December,Inactive
CUST00072,Female,50,Sierra Leone,Yes,No,2018-10-15,Credit Card,2018,October,Active
CUST00073,Male,19,Guinea,No,Yes,2016-08-27,Debit Card,2016,August,Inactive
CUST00074,Female,36,Sierra Leone,No,Yes,2018-03-31,Credit Card,2018,March,Inactive
CUST00075,Male,63,Guinea,Yes,No,2018-03-18,UPI,2018,March,Active
CUST00076,Female,37,Sierra Leone,Yes,No,2019-03-21,UPI,2019,March,Active
CUST00077,Female,59,Sierra Leone,Yes,Yes,2016-03-16,Debit Card,2016,March,Inactive
CUST00078,Female,58,Guinea,Yes,No,2018-01-05,Debit Card,2018,January,Active
CUST00079,Male,59,Ivory Coast,Yes,No,2017-10-03,UPI,2017,October,Active
CUST00080,Female,46,Ivory Coast,No,No,2019-06-28,Net Banking,2019,June,Active
CUST00081,Male,23,Ivory Coast,Yes,No,2018-04-17,Credit Card,2018,April,Active
CUST00082,Female,34,Ivory Coast,Yes,No,2016-09-16,UPI,2016,September,Active
CUST00083,Male,42,Ivory Coast,Yes,No,2016-11-12,Net Banking,2016,November,Active
CUST00084,Female,55,Sierra Leone,Yes,No,2017-12-17,Credit Card,2017,December,Active
CUST00085,Male,21,Ivory Coast,Yes,No,2019-02-23,Credit Card,2019,February,Active
CUST00086,Male,47,Sierra Leone,No,No,2017-12-04,UPI,2017,December,Active
CUST00087,Female,37,Guinea,Yes,No,2017-07-01,Credit Card,2017,July,Active
CUST00088,Male,20,Ivory Coast,Yes,No,2019-10-14,Net Banking,2019,October,Active
CUST00089,Female,40,Ivory Coast,Yes,No,2016-06-14,Credit Card,2016,June,Active
CUST00090,Female,68,Ivory Coast,Yes,Yes,2016-12-03,Net Banking,2016,December,Inactive
CUST00091,Female,35,Ivory Coast,Yes,No,2018-03-26,Credit Card,2018,March,Active
CUST00092,Female,43,Sierra Leone,No,No,2019-10-08,Credit Card,2019,October,Active
CUST00093,Female,73,Sierra Leone,Yes,No,2017-02-17,UPI,2017,February,Active
CUST00094,Female,53,Sierra Leone,Yes,Yes,2017-12-03,UPI,2017,December,Inactive
CUST00095,Female,25,Guinea,Yes,No,2018-11-14,Net Banking,2018,November,Active
CUST00096,Female,34,Sierra Leone,Yes,No,2018-02-10,Credit Card,2018,February,Active
CUST00097,Female,48,Ivory Coast,Yes,No,2017-09-23,Credit Card,2017,September,Active
CUST00098,Female,54,Guinea,Yes,No,2019-10-08,Debit Card,2019,October,Active
CUST00099,Female,62,Guinea,Yes,No,2017-05-04,Net Banking,2017,May,Active
CUST00100,Male,74,Ivory Coast,Yes,No,2017-12-25,UPI,2017,December,Active
CUST00101,Male,50,Ivory Coast,Yes,No,2017-03-24,Net Banking,2017,March,Active
CUST00102,Female,44,Ivory Coast,Yes,No,2016-11-24,UPI,2016,November,Active
CUST00103,Female,62,Ivory Coast,Yes,No,2017-07-30,Debit Card,2017,July,Active
CUST00104,Female,21,Sierra Leone,No,Yes,2017-01-01,Debit Card,2017,January,Inactive
CUST00105,Female,39,Guinea,Yes,No,2019-01-16,Credit Card,2019,January,Active
CUST00106,Female,43,Ivory Coast,No,No,2018-08-13,Debit Card,2018,August,Active
CUST00107,Female,49,Sierra Leone,Yes,Yes,2018-08-12,Debit Card,2018,August,Inactive
CUST00108,Female,41,Ivory Coast,Yes,No,2017-02-12,Net Banking,2017,February,Active
CUST00109,Female,63,Sierra Leone,Yes,No,2019-06-13,Debit Card,2019,June,Active
CUST00110,Male,52,Ivory Coast,No,No,2016-02-19,Credit Card,2016,February,Active
CUST00111,Female,54,Ivory Coast,Yes,No,2016-07-01,Credit Card,2016,July,Active
CUST00112,Male,49,Ivory Coast,Yes,No,2017-01-28,Credit Card,2017,January,Active
CUST00113,Female,24,Sierra Leone,Yes,No,2018-09-16,Net Banking,2018,September,Active
CUST00114,Female,50,Ivory Coast,Yes,No,2018-05-26,Net Banking,2018,May,Active
CUST00115,Male,48,Sierra Leone,Yes,No,2016-07-04,Net Banking,2016,July,Active
CUST00116,Female,72,Sierra Leone,Yes,No,2016-03-29,Debit Card,2016,March,Active
CUST00117,Male,29,Guinea,Yes,No,2018-10-11,Debit Card,2018,October,Active
CUST00118,Female,28,Sierra Leone,Yes,No,2016-03-26,UPI,2016,March,Active
CUST00119,Female,41,Sierra Leone,Yes,No,2016-04-29,UPI,2016,April,Active
CUST00120,Male,25,Sierra Leone,Yes,No,2016-03-28,Debit Card,2016,March,Active
CUST00121,Female,49,Sierra Leone,Yes,Yes,2018-12-15,Debit Card,2018,December,Inactive
CUST00122,Male,74,Sierra Leone,Yes,No,2019-03-24,Credit Card,2019,March,Active
CUST00123,Female,55,Guinea,Yes,No,2019-01-18,Net Banking,2019,January,Active
CUST00124,Male,39,Ivory Coast,Yes,No,2018-06-30,Net Banking,2018,June,Active
CUST00125,Male,51,Guinea,Yes,No,2019-08-10,Cash,2019,August,Active
CUST00126,Female,36,Guinea,Yes,Yes,2016-12-26,Net Banking,2016,December,Inactive
CUST00127,Female,69,Ivory Coast,Yes,No,2017-12-08,Credit Card,2017,December,Active
CUST00128,Male,37,Sierra Leone,Yes,No,2017-06-18,Net Banking,2017,June,Active
CUST00129,Female,73,Ivory Coast,Yes,No,2017-08-17,Cash,2017,August,Active
CUST00130,Female,31,Sierra Leone,Yes,No,2017-11-26,Net Banking,2017,November,Active
CUST00131,Female,50,Ivory Coast,Yes,No,2018-01-04,Credit Card,2018,January,Active
CUST00132,Male,27,Guinea,Yes,Yes,2019-01-16,Debit Card,2019,January,Inactive
CUST00133,Male,33,Sierra Leone,No,No,2018-08-28,Credit Card,2018,August,Active
CUST00134,Male,21,Guinea,Yes,No,2016-02-22,UPI,2016,February,Active
CUST00135,Male,44,Sierra Leone,Yes,Yes,2017-02-06,Net Banking,2017,February,Inactive
CUST00136,Male,45,Ivory Coast,Yes,No,2018-05-22,UPI,2018,May,Active
CUST00137,Male,60,Ivory Coast,Yes,No,2018-04-01,Credit Card,2018,April,Active
CUST00138,Male,33,Ivory Coast,No,Yes,2019-06-21,UPI,2019,June,Inactive
CUST00139,Male,69,Ivory Coast,No,No,2017-09-29,Credit Card,2017,September,Active
CUST00140,Male,50,Ivory Coast,No,No,2018-05-26,Debit Card,2018,May,Active
CUST00141,Female,65,Guinea,No,No,2017-12-13,Credit Card,2017,December,Active
CUST00142,Male,36,Guinea,Yes,No,2016-02-21,Credit Card,2016,February,Active
CUST00143,Female,38,Sierra Leone,Yes,No,2019-06-20,Cash,2019,June,Active
CUST00144,Female,39,Guinea,No,No,2017-02-05,Credit Card,2017,February,Active
CUST00145,Female,26,Sierra Leone,Yes,No,2017-09-10,Credit Card,2017,September,Active
CUST00146,Male,26,Sierra Leone,No,No,2017-10-25,UPI,2017,October,Active
CUST00147,Male,26,Guinea,Yes,No,2019-02-10,Net Banking,2019,February,Active
CUST00148,Male,44,Guinea,Yes,No,2018-06-20,Debit Card,2018,June,Active
CUST00149,Male,34,Sierra Leone,No,No,2016-08-10,Credit Card,2016,August,Active
CUST00150,Female,61,Guinea,Yes,No,2017-10-28,UPI,2017,October,Active
CUST00151,Male,74,Guinea,No,Yes,2019-12-25,Debit Card,2019,December,Inactive
CUST00152,Male,62,Guinea,Yes,Yes,2016-06-22,Debit Card,2016,June,Inactive
CUST00153,Male,25,Ivory Coast,Yes,Yes,2019-10-02,Debit Card,2019,October,Inactive
CUST00154,Male,33,Ivory Coast,No,No,2016-12-12,Debit Card,2016,December,Active
CUST00155,Male,35,Sierra Leone,Yes,No,2016-07-03,Net Banking,2016,July,Active
CUST00156,Female,50,Guinea,Yes,Yes,2017-01-30,UPI,2017,January,Inactive
CUST00157,Male,18,Sierra Leone,Yes,No,2019-08-01,UPI,2019,August,Active
CUST00158,Female,29,Guinea,No,Yes,2016-11-08,UPI,2016,November,Inactive
CUST00159,Male,23,Ivory Coast,No,Yes,2019-05-06,Net Banking,2019,May,Inactive
CUST00160,Female,58,Guinea,Yes,No,2018-12-30,UPI,2018,December,Active
CUST00161,Male,72,Guinea,Yes,No,2017-12-10,Net Banking,2017,December,Active
CUST00162,Male,22,Guinea,No,Yes,2017-07-18,UPI,2017,July,Inactive
CUST00163,Female,33,Ivory Coast,No,No,2017-04-06,Net Banking,2017,April,Active
CUST00164,Female,35,Ivory Coast,Yes,No,2018-05-21,Debit Card,2018,May,Active
CUST00165,Female,66,Ivory Coast,Yes,No,2018-03-31,Net Banking,2018,March,Active
CUST00166,Male,35,Sierra Leone,No,No,2016-04-24,Credit Card,2016,April,Active
CUST00167,Female,18,Guinea,Yes,No,2018-05-13,UPI,2018,May,Active
CUST00168,Male,36,Ivory Coast,No,No,2017-01-17,UPI,2017,January,Active
CUST00169,Male,71,Sierra Leone,Yes,No,2019-05-03,Credit Card,2019,May,Active
CUST00170,Female,25,Ivory Coast,Yes,No,2019-05-15,Net Banking,2019,May,Active
CUST00171,Female,20,Guinea,Yes,No,2019-12-26,Credit Card,2019,December,Active
CUST00172,Male,42,Sierra Leone,No,No,2016-04-20,UPI,2016,April,Active
CUST00173,Male,22,Ivory Coast,Yes,No,2017-11-09,Net Banking,2017,November,Active
CUST00174,Female,72,Ivory Coast,Yes,No,2017-09-04,Net Banking,2017,September,Active
CUST00175,Female,57,Sierra Leone,Yes,No,2019-04-07,Credit Card,2019,April,Active
CUST00176,Female,36,Sierra Leone,No,No,2017-03-07,UPI,2017,March,Active
CUST00177,Male,35,Sierra Leone,Yes,No,2019-07-05,Credit Card,2019,July,Active
CUST00178,Male,67,Sierra Leone,Yes,Yes,2018-02-28,Net Banking,2018,February,Inactive
CUST00179,Male,70,Sierra Leone,Yes,No,2016-12-17,Net Banking,2016,December,Active
CUST00180,Male,48,Ivory Coast,Yes,No,2016-05-02,Net Banking,2016,May,Active
CUST00181,Male,50,Sierra Leone,Yes,No,2017-12-01,Credit Card,2017,December,Active
CUST00182,Male,64,Sierra Leone,Yes,No,2018-04-27,Net Banking,2018,April,Active
CUST00183,Female,35,Guinea,Yes,Yes,2019-08-08,UPI,2019,August,Inactive
CUST00184,Male,74,Ivory Coast,No,No,2018-08-19,Debit Card,2018,August,Active
CUST00185,Male,56,Guinea,No,Yes,2016-12-02,Debit Card,2016,December,Inactive
CUST00186,Male,33,Ivory Coast,No,No,2018-02-09,Debit Card,2018,February,Active
CUST00187,Female,33,Ivory Coast,Yes,No,2016-10-05,UPI,2016,October,Active
CUST00188,Male,64,Ivory Coast,No,No,2018-05-18,UPI,2018,May,Active
CUST00189,Male,55,Sierra Leone,Yes,No,2019-06-08,Net Banking,2019,June,Active
CUST00190,Female,58,Guinea,Yes,No,2016-04-18,UPI,2016,April,Active
CUST00191,Male,24,Ivory Coast,Yes,Yes,2018-04-19,Debit Card,2018,April,Inactive
CUST00192,Male,31,Ivory Coast,Yes,No,2019-02-23,Net Banking,2019,February,Active
CUST00193,Male,60,Ivory Coast,Yes,No,2017-08-02,Net Banking,2017,August,Active
CUST00194,Male,70,Guinea,Yes,No,2016-11-22,Cash,2016,November,Active
CUST00195,Male,65,Ivory Coast,Yes,No,2019-07-14,Debit Card,2019,July,Active
CUST00196,Female,42,Guinea,Yes,No,2017-10-09,Debit Card,2017,October,Active
CUST00197,Female,49,Guinea,Yes,No,2019-07-23,Credit Card,2019,July,Active
CUST00198,Female,55,Sierra Leone,Yes,Yes,2016-03-02,Credit Card,2016,March,Inactive
CUST00199,Male,39,Ivory Coast,Yes,Yes,2016-06-19,Debit Card,2016,June,Inactive
CUST00200,Male,33,Ivory Coast,Yes,No,2019-01-20,Credit Card,2019,January,Active
CUST00201,Male,69,Guinea,Yes,No,2019-01-03,Credit Card,2019,January,Active
CUST00202,Female,46,Guinea,Yes,No,2016-04-30,Cash,2016,April,Active
CUST00203,Male,33,Sierra Leone,Yes,Yes,2017-04-28,Cash,2017,April,Inactive
CUST00204,Male,29,Ivory Coast,No,No,2016-09-19,Debit Card,2016,September,Active
CUST00205,Female,34,Guinea,Yes,No,2016-05-17,UPI,2016,May,Active
CUST00206,Male,54,Ivory Coast,Yes,No,2019-04-06,UPI,2019,April,Active
CUST00207,Female,44,Ivory Coast,No,No,2017-05-30,Debit Card,2017,May,Active
CUST00208,Female,42,Ivory Coast,Yes,No,2016-07-19,Credit Card,2016,July,Active
CUST00209,Female,30,Guinea,Yes,No,2016-04-11,Credit Card,2016,April,Active
CUST00210,Male,25,Ivory Coast,Yes,Yes,2018-10-05,Credit Card,2018,October,Inactive
CUST00211,Male,73,Guinea,Yes,No,2016-01-19,UPI,2016,January,Active
CUST00212,Male,22,Sierra Leone,Yes,No,2016-12-31,Debit Card,2016,December,Active
CUST00213,Male,29,Sierra Leone,No,No,2019-12-16,Net Banking,2019,December,Active
CUST00214,Male,58,Guinea,Yes,No,2019-10-14,Debit Card,2019,October,Active
CUST00215,Male,20,Ivory Coast,Yes,No,2017-10-02,Debit Card,2017,October,Active
CUST00216,Male,52,Sierra Leone,Yes,No,2018-05-30,Credit Card,2018,May,Active
CUST00217,Female,50,Sierra Leone,No,Yes,2018-08-06,Debit Card,2018,August,Inactive
CUST00218,Male,74,Guinea,No,No,2016-05-28,UPI,2016,May,Active
CUST00219,Female,39,Guinea,Yes,No,2017-05-11,UPI,2017,May,Active
CUST00220,Male,67,Guinea,Yes,No,2019-11-15,Credit Card,2019,November,Active
CUST00221,Male,73,Guinea,Yes,No,2018-01-19,Credit Card,2018,January,Active
CUST00222,Male,61,Guinea,Yes,No,2016-01-07,UPI,2016,January,Active
CUST00223,Female,26,Guinea,Yes,No,2016-11-28,Debit Card,2016,November,Active
CUST00224,Female,58,Guinea,Yes,No,2018-11-12,Net Banking,2018,November,Active
CUST00225,Female,35,Ivory Coast,No,No,2018-09-08,Net Banking,2018,September,Active
CUST00226,Female,67,Ivory Coast,Yes,No,2016-03-30,Net Banking,2016,March,Active
CUST00227,Male,46,Ivory Coast,Yes,No,2017-08-05,Credit Card,2017,August,Active
CUST00228,Female,56,Ivory Coast,Yes,No,2018-12-25,UPI,2018,December,Active
CUST00229,Male,44,Sierra Leone,Yes,No,2016-02-22,Credit Card,2016,February,Active
CUST00230,Male,53,Ivory Coast,Yes,No,2017-02-06,Credit Card,2017,February,Active
CUST00231,Female,62,Sierra Leone,No,No,2017-12-04,Credit Card,2017,December,Active
CUST00232,Female,34,Sierra Leone,Yes,No,2016-05-21,Cash,2016,May,Active
CUST00233,Female,73,Sierra Leone,No,No,2018-11-14,Credit Card,2018,November,Active
CUST00234,Female,51,Guinea,Yes,Yes,2018-01-31,UPI,2018,January,Inactive
CUST00235,Female,63,Sierra Leone,Yes,No,2016-02-02,Credit Card,2016,February,Active
CUST00236,Female,20,Sierra Leone,Yes,No,2017-11-18,Credit Card,2017,November,Active
CUST00237,Female,22,Sierra Leone,Yes,No,2019-11-02,UPI,2019,November,Active
CUST00238,Female,31,Guinea,Yes,No,2019-10-23,UPI,2019,October,Active
CUST00239,Male,20,Ivory Coast,Yes,No,2019-05-20,UPI,2019,May,Active
CUST00240,Female,40,Ivory Coast,Yes,Yes,2018-05-25,Credit Card,2018,May,Inactive
CUST00241,Female,56,Sierra Leone,No,No,2019-03-02,UPI,2019,March,Active
CUST00242,Male,47,Sierra Leone,Yes,No,2016-05-28,Credit Card,2016,May,Active
CUST00243,Female,67,Ivory Coast,Yes,No,2018-04-06,Debit Card,2018,April,Active
CUST00244,Male,62,Ivory Coast,Yes,No,2019-10-31,Debit Card,2019,October,Active
CUST00245,Male,40,Ivory Coast,Yes,No,2019-01-05,Credit Card,2019,January,Active
CUST00246,Female,44,Ivory Coast,Yes,Yes,2017-06-09,Net Banking,2017,June,Inactive
CUST00247,Male,71,Sierra Leone,Yes,No,2018-08-16,Net Banking,2018,August,Active
CUST00248,Male,27,Sierra Leone,Yes,Yes,2017-07-19,Cash,2017,July,Inactive
CUST00249,Male,42,Sierra Leone,Yes,No,2017-11-15,Net Banking,2017,November,Active
CUST00250,Male,30,Ivory Coast,No,No,2018-08-03,Debit Card,2018,August,Active
CUST00251,Female,33,Guinea,No,No,2019-01-20,UPI,2019,January,Active
CUST00252,Male,58,Ivory Coast,Yes,No,2019-11-07,Debit Card,2019,November,Active
